ICAO;DIAMES;MES_LOCAL;HORA_LOCAL;TOTALES
LEMD_DCL;7;7;1:00;4
LEMD_DCL;7;7;2:00;2
LEMD_DCL;7;7;3:00;7
LEMD_DCL;7;7;4:00;40
LEMD_DCL;7;7;5:00;51
LEMD_DCL;7;7;6:00;60
LEMD_DCL;7;7;7:00;62
LEMD_DCL;7;7;8:00;75
LEMD_DCL;7;7;9:00;74
LEMD_DCL;7;7;10:00;67
LEMD_DCL;7;7;11:00;67
LEMD_DCL;7;7;12:00;85
LEMD_DCL;7;7;13:00;102
LEMD_DCL;7;7;14:00;76
LEMD_DCL;7;7;15:00;46
LEMD_DCL;7;7;16:00;66
LEMD_DCL;7;7;17:00;70
LEMD_DCL;7;7;18:00;72
LEMD_DCL;7;7;19:00;71
LEMD_DCL;7;7;20:00;67
LEMD_DCL;7;7;21:00;50
LEMD_DCL;7;7;22:00;21
LEMD_DCL;7;7;23:00;5
LEMD_DCL;8;7;0:00;3
LEMD_DCL;8;7;1:00;2
LEMD_DCL;8;7;2:00;6
LEMD_DCL;8;7;3:00;12
LEMD_DCL;8;7;4:00;44
LEMD_DCL;8;7;5:00;72
LEMD_DCL;8;7;6:00;68
LEMD_DCL;8;7;7:00;78
LEMD_DCL;8;7;8:00;86
LEMD_DCL;8;7;9:00;80
LEMD_DCL;8;7;10:00;82
LEMD_DCL;8;7;11:00;67
LEMD_DCL;8;7;12:00;87
LEMD_DCL;8;7;13:00;98
LEMD_DCL;8;7;14:00;73
LEMD_DCL;8;7;15:00;54
LEMD_DCL;8;7;16:00;74
LEMD_DCL;8;7;17:00;69
LEMD_DCL;8;7;18:00;76
LEMD_DCL;8;7;19:00;72
LEMD_DCL;8;7;20:00;62
LEMD_DCL;8;7;21:00;49
LEMD_DCL;8;7;22:00;20
LEMD_DCL;8;7;23:00;4
LEMD_DCL;9;7;0:00;2
LEMD_DCL;9;7;1:00;3
LEMD_DCL;9;7;2:00;7
LEMD_DCL;9;7;3:00;17
LEMD_DCL;9;7;4:00;45
LEMD_DCL;9;7;5:00;74
LEMD_DCL;9;7;6:00;68
LEMD_DCL;9;7;7:00;81
LEMD_DCL;9;7;8:00;84
LEMD_DCL;9;7;9:00;80
LEMD_DCL;9;7;10:00;73
LEMD_DCL;9;7;11:00;70
LEMD_DCL;9;7;12:00;81
LEMD_DCL;9;7;13:00;91
LEMD_DCL;9;7;14:00;71
LEMD_DCL;9;7;15:00;45
LEMD_DCL;9;7;16:00;68
LEMD_DCL;9;7;17:00;76
LEMD_DCL;9;7;18:00;81
LEMD_DCL;9;7;19:00;68
LEMD_DCL;9;7;20:00;67
LEMD_DCL;9;7;21:00;51
LEMD_DCL;9;7;22:00;16
LEMD_DCL;9;7;23:00;5
LEMD_DCL;10;7;0:00;3
LEMD_DCL;10;7;1:00;2
LEMD_DCL;10;7;2:00;4
LEMD_DCL;10;7;3:00;17
LEMD_DCL;10;7;4:00;47
LEMD_DCL;10;7;5:00;70
LEMD_DCL;10;7;6:00;69
LEMD_DCL;10;7;7:00;78
LEMD_DCL;10;7;8:00;89
LEMD_DCL;10;7;9:00;75
LEMD_DCL;10;7;10:00;75
LEMD_DCL;10;7;11:00;68
LEMD_DCL;10;7;12:00;83
LEMD_DCL;10;7;13:00;97
LEMD_DCL;10;7;14:00;75
LEMD_DCL;10;7;15:00;42
LEMD_DCL;10;7;16:00;71
LEMD_DCL;10;7;17:00;71
LEMD_DCL;10;7;18:00;73
LEMD_DCL;10;7;19:00;73
LEMD_DCL;10;7;20:00;69
LEMD_DCL;10;7;21:00;49
LEMD_DCL;10;7;22:00;18
LEMD_DCL;10;7;23:00;4
LEMD_DCL;11;7;0:00;2
LEMD_DCL;11;7;1:00;2
LEMD_DCL;11;7;2:00;4
LEMD_DCL;11;7;3:00;17
LEMD_DCL;11;7;4:00;44
